timestamp_ms,used_mb,free_mb,shared_mb,available_mb,total_mb
1788675099690,817,13351,40,14609,15786
1788675100196,820,13348,40,14605,15786
1788675100702,815,13353,40,14611,15786
1788675101208,814,13354,40,14611,15786
1788675101713,811,13357,40,14614,15786
1788675102219,810,13358,40,14615,15786
1788675102725,806,13362,40,14620,15786
1788675103231,799,13369,40,14626,15786
1788675103737,797,13371,40,14628,15786
1788675104243,797,13370,40,14628,15786
1788675104749,797,13371,40,14629,15786
1788675105255,783,13385,40,14642,15786
1788675105761,783,13385,40,14642,15786
1788675106267,783,13385,40,14642,15786
1788675106773,782,13386,40,14643,15786
1788675107279,783,13385,40,14643,15786
1788675107784,782,13386,40,14643,15786
1788675108290,785,13383,40,14640,15786
1788675108796,786,13382,40,14640,15786
1788675109302,786,13382,40,14639,15786
1788675109808,786,13382,40,14639,15786
1788675110314,786,13381,40,14639,15786
1788675110821,983,13184,40,14442,15786
1788675111329,1296,12871,40,14129,15786
1788675111837,1421,12746,40,14004,15786
1788675112345,1414,12745,40,14011,15786
1788675112854,1431,12729,40,13994,15786
1788675113362,1600,12560,40,13825,15786
1788675113870,1477,12675,40,13949,15786
1788675114376,1561,12591,40,13864,15786
1788675114882,1510,12640,40,13916,15786
1788675115389,1490,12659,40,13935,15786
1788675115894,1440,12708,40,13985,15786
1788675116400,1432,12716,40,13993,15786
1788675116906,1391,12757,40,14034,15786
1788675117412,1391,12758,40,14035,15786
1788675117918,1351,12798,40,14075,15786
1788675118424,1347,12801,40,14078,15786
1788675118930,1313,12835,40,14112,15786
1788675119437,1314,12835,40,14112,15786
1788675119943,1276,12873,40,14150,15786
1788675120449,1265,12884,40,14161,15786
1788675120955,1218,12931,40,14208,15786
1788675121461,1218,12931,40,14208,15786
1788675121967,1176,12972,40,14249,15786
1788675122473,1174,12975,40,14252,15786
1788675122979,1135,13013,40,14290,15786
1788675123485,1123,13026,40,14303,15786
1788675123991,1055,13094,40,14370,15786
