timestamp_ms,used_mb,free_mb,shared_mb,available_mb,total_mb
1788678021222,1673,13013,40,13771,15786
1788678021727,1670,13016,40,13774,15786
1788678022234,1670,13016,40,13774,15786
1788678022740,1666,13020,40,13778,15786
1788678023246,1666,13020,40,13778,15786
1788678023752,1666,13020,40,13778,15786
1788678024258,1663,13024,40,13781,15786
1788678024764,1660,13026,40,13784,15786
1788678025270,1660,13026,40,13783,15786
1788678025776,1661,13025,40,13783,15786
1788678026282,1659,13028,40,13785,15786
1788678026788,1659,13027,40,13784,15786
1788678027294,1659,13027,40,13784,15786
1788678027800,1657,13029,40,13786,15786
1788678028308,1797,12887,40,13647,15786
1788678028818,2107,12575,40,13337,15786
1788678029331,2579,12100,40,12864,15786
1788678029843,2868,11810,40,12575,15786
1788678030354,3207,11472,40,12236,15786
1788678030866,2647,12031,40,12796,15786
1788678031377,2629,12049,40,12814,15786
1788678031885,2727,11951,40,12716,15786
1788678032395,2932,11747,40,12511,15786
1788678032908,3206,11472,40,12237,15786
1788678033418,2747,11932,40,12697,15786
1788678033930,2732,11947,40,12711,15786
1788678034440,2809,11869,40,12634,15786
1788678034951,3021,11658,40,12423,15786
1788678035462,3192,11487,40,12252,15786
1788678035976,2734,11945,40,12709,15786
1788678036486,2701,11977,40,12742,15786
1788678037000,2797,11882,40,12647,15786
1788678037511,3087,11591,40,12356,15786
1788678038019,2821,11857,40,12622,15786
1788678038532,2559,12119,40,12884,15786
1788678039041,2648,12031,40,12796,15786
1788678039551,2886,11792,40,12557,15786
1788678040062,3162,11516,40,12281,15786
1788678040574,2830,11847,40,12613,15786
1788678041087,2706,11973,40,12737,15786
1788678041599,2778,11900,40,12665,15786
1788678042108,2919,11759,40,12524,15786
1788678042626,3208,11470,40,12235,15786
1788678043137,2461,12218,40,12982,15786
1788678043643,2455,12224,40,12988,15786
1788678044149,2439,12239,40,13004,15786
1788678044656,2287,12391,40,13156,15786
1788678045162,2265,12414,40,13179,15786
1788678045667,2257,12422,40,13186,15786
1788678046173,2229,12449,40,13214,15786
1788678046679,2211,12467,40,13232,15786
1788678047185,2196,12483,40,13247,15786
1788678047691,2181,12498,40,13262,15786
1788678048198,2151,12528,40,13292,15786
1788678048704,2143,12536,40,13300,15786
1788678049210,2097,12582,40,13346,15786
1788678049716,2053,12626,40,13391,15786
1788678050222,2053,12626,40,13391,15786
1788678050728,2011,12668,40,13432,15786
1788678051235,2004,12674,40,13439,15786
1788678051741,1972,12706,40,13471,15786
1788678052247,1958,12720,40,13485,15786
1788678052753,1923,12756,40,13520,15786
1788678053259,1917,12762,40,13526,15786
1788678053765,1886,12793,40,13557,15786
1788678054271,1886,12793,40,13557,15786
1788678054777,1859,12819,40,13584,15786
1788678055283,1854,12824,40,13589,15786
1788678055789,1831,12847,40,13612,15786
1788678056295,1831,12847,40,13612,15786
1788678056801,1803,12876,40,13640,15786
1788678057307,1804,12875,40,13639,15786
1788678057813,1783,12896,40,13660,15786
1788678058319,1783,12895,40,13660,15786
1788678058825,1765,12914,40,13678,15786
1788678059331,1765,12914,40,13678,15786
1788678059837,1747,12932,40,13696,15786
